Question	Potentially_Pejorative
听说斯巴鲁的车都是全时四驱的？好处在哪啊？懂的给说说！ 	None
请问我的显卡是ELSAFX534P为什么游戏功能选项的游戏画面中? 	None
极限特工2中在直升机上的那个光头白人是谁?那位黑人老兄越狱后，一 	None
哪位朋友有李赋宁编写的《欧洲文学史》？请问哪位朋友有李赋宁编写的 	None
点卡充错区了怎么办啊?我是华东飞花用户.充点卡的时候鼠标滚轮滚了 	None
苹果手机壳哪个品牌比较好？ 	None
民法选择题有限责任公司属于（)A.社团法人B.财团法人C.营利法 	None
他和我都互相喜欢，但是他有女友。最近他对我的态度是有点怪怪的：不? 	None
我家宝贝从2岁多就开始晚上睡觉偶尔有磨牙现象，现在4岁了，每天晚? 	None
怎么免费得Q币，有什么好方法？ 	None
从幻境7层怎么到幻境10层啊？谢谢，大虾说下啊 	None
男生心情不好怎么办？他是我的一个很要好的男性朋友，最近的他总是心 	None
饮用水反复烧过的水喝了后对人体会造成那些不好的影响? 	None
世界最大的淡水湖 	None
学历不同的爱情女的是大学生，男的是初中生，但是他们很相爱。他们能 	None
决战摸爬滚打的岁月（一）英雄的年代做人太久，是英雄代理最大的痛苦 	None
退休了，？怎么办一转眼，就退休了，该怎么办？有点不知所措。请朋友 	None
2012年做什么生意好呢？2012年不想给人家打工了，想自己做点 	None
脐带绕颈，急！！！孕30周做B超检查出宝宝脐带绕颈2周。看到结果 	None
什么是卢森堡公国？？请详细一些，谢谢 	None
一个小问题大家看下问下师们任务就说钱面怪任务吧,我在网吧上时间要 	None
68及豪杰血2000+少吗,加体魄会提高防吗? 	None
新浪微博登不进去了说什么“我们发现你在新浪的帐号密码与其他网站被? 	None
武林外传里的剑圣怎么加点好？ 	None
“屋漏偏遭连夜雨”，下一句是什么？请指教… 	None
请告诉一下我好吗？如果做完流产手术一个星期后就不流血了，还用去医 	None
愁啊，孩子的早恋问题！本人工科博士、教授、博导，每天很忙，为了孩 	None
最近好看的韩剧类似于请回答1997这部剧的......很好看，推 	None
求欧洲杯欧洲杯小组出现详细规则 	None
SS的困惑不知道大家看没看今天官网上发布的新技能，SS以后打架还 	None
神盾估价，高手进！40级掉2血1防神盾，有技能，精神成长2.23 	None
隐身侠怎么样用着？ 	None
动态IP问题我是铁通拨号动态IP,近来如上网获得的IP地址是21 	None
好冷呀! 	None
深圳哪家品牌生产的监控摄像机比较好？本人一直想买一台监控摄像机， 	None
高手帮帮忙，我最近想买车，不知道是买86好，还是买B2类的车好， 	None
杭州哪有卖电动轮椅的？老人偏瘫，想给老人买款电动轮椅，价格方面不 	None
三相四线直接接线式电表可否接互感器 	None
什么东西越生气它就越大？ 	None
南开区哪有卖暖瓶胆的 	None
环境艺术和建筑装饰那个的范围广一些？无意中看到的宣传，所以比较好 	None
飘流幻境的。。。。钱要怎么赚？ 	None
NET源码是什么？ 	None
你给别人投赞扬票时会告诉他(她)吗？我注意到有的人每次给人投了赞 	None
为什么我真了修真任务，但修为没长啊，999我啊~~~我是个小WX 	None
澳洲一流大学和普通大学有什么区别?澳洲的一流大学,如悉尼大学、澳 	None
SOS谁知道怎样删除下载的文件急啊要彻底的把曾经下载或拷贝的文件 	None
小孩子长牙时，新冒出的牙顶着原先的乳牙，那颗乳牙要去医院拔掉吗 	None
斑竹请进高手来看急需打造一览表,以前在新手手册里的那个怎么看不到 	None
冰1，魔1的绿色项链能值多少？谢谢！神鬼王暴的 	None
我这个月怎么还不来月经呢,上个月我做爱后来了月经,但是这个没有做? 	None
谁用过“正行列式”怎么算，是否只能用按行或按列展开呀，有没有其他? 	None
给个超级帐号激活码 	None
请excel高手帮忙看一下数据很多,不用复制粘贴,而用公式或者函 	None
为什么取消　财富通支付我一直都是用财富通　冲值的前几天网站维护　 	None
海马怎么吃？听说可以炖汤，请问怎么做？谢谢！ 	None
台服没有繁体显示，英文发音从新浪上下载的台版WOW，安装完后没有 	None
数学一题环形跑道周长是500米，甲、乙两人按顺时针沿环形跑道同时 	None
请教“虚掩的门”大师及各位专家帮我设计一下，先谢谢了！我的房子建 	None
如何练习英语口语效果最佳 	None
不等式的牲质关于ｘ的不等式ｘ一ａ&lt;1的解集Ｘ&lt;2,则 	None
为什么我电脑看不到文件夹名字！ 	None
爱一个人需要理由吗>?爱一个人需要理由吗??怎么能分辨出来是真喜 	None
【壬辰清明谜会01—06】春满清明9笔字一 	None
做肉丸要用什么机器?是不是一台碎肉机及一台成型机就可以了呢?主要 	None
请银行的朋友帮个忙啊回答个问题,好急,谢谢了朋友去年在贵州存钱开 	None
全身经络不通，平湖哪里有好中医的？ 	None
电脑经常出现间断性死机会不会影响它的使用寿命?这种现象对机子各部 	None
奇怪，中国的柴油与欧洲的不同吗？在国内，只要是使用柴油的汽车或拖 	None
做生意的人该如何锻炼自己的交流能力?我决定以后做生意,但是我社交 	None
老年人膝盖骨质增生该怎么治疗，有谁知道的，跪求。 	None
寻一直中线医药股请高手推荐一支医药股，拿到今年底的，谢谢 	None
不能自动关机我是三星笔记本近几天关机后出现蓝屏一大堆英文触一下开 	None
韩国泡菜在哪里有啊？同上 	None
关于扬州的特产的介绍 	None
我很想找到现代西班牙语第一册的全部教学视频，要mp4格式的，请大? 	None
小雨点儿，给我算下dd1aa90d8a40b331b73dca4 	None
在　海南的海边　什么地方肃静　消费底　租个便宜的房子要多钱？一个? 	None
我不会哦，帮帮我！本恩的年龄乘我和泰德年龄的差，与我的年龄乘以他 	None
msn在教学工作中的作用 	None
梦到有人睡在身边是什么意思我男朋友连续6天梦到一个人背对他睡在他 	None
怀孕能吃螃蟹吗现在正是开始吃螃蟹的时节。我现在24周，请问可以吃 	None
头发怎么洗头发怎么洗头发怎么洗头发怎么洗头发怎么洗头发怎么洗头发? 	None
恭喜霆锋成为最适合演藤原拓海的人选。今天刚在娱乐新闻上面看到，认 	None
清泉老师600111怎么操作，明天卖掉吗 	None
博文中放音乐 	None
请问什么时候升级好啊?升级好请大家及时通知我,我的电子邮件是高分 	None
北京西站和北京站有预售火车票的吗 	None
请问焦虑症是一种什么样的病症状态？成都治疗的话哪家医院比较权威可? 	None
为什么北京周边都在下雪而北京却没有下场相样大雪的意思呢为什么北京 	None
"零红蝶的问题　　=====【第五刻】=======　　→得到""逢 "	None
传奇世界魔法权杖升级?升到10怎样升？ 	None
印度发展到现在总共是有多少人口啊 	None
家族技能升级任务中的护宝剑魔在哪里啊??? 	None
冬天口唇干裂用什么保养？ 	None
模拟人生2的基础盘到底有几张? 	None
嘴里起溃疡是什么毛病？嘴巴的上、下唇里经常起溃疡，是什么引起的？ 	None
晒太阳为何会皮肤骚痒我已有好几年了,每到冬天晒太阳皮肤就痒,吃辣 	None
同居是否有罪？ 	None
请问habilitation是什么意思，谢谢Ataverypra? 	None
农村家庭用的太阳能热水器哪个牌子好？因为想在农村做太阳能热水器生 	None
为什么情人节要送巧克力？ 	None
33层的房子能买吗 	None
电信5风灵,一转剑合什么好Z还G,19级怎么升快点250元宝能卖 	None
满腹经纶怎么拿？求帮助 	None
英格兰你让我很失望！我真的十分失望啊！怎摸会这样！ 	None
是哪儿的电话号码?这是个语音电话,又是某某起诉我的官司电话,是否? 	None
"有谁知道有哪些好的""自考""学习软件~~哎~~大一一进来就玩,现在 "	None
建议国际足联把中国男子足球队纳入残疾人比赛.像现在在云南举行的比? 	Potentially
鬼压床是怎么回事啊？有一次我晚上半夜里突然醒来发觉自己想动动不了 	None
第一次见男朋友的父母应该注意些什么？下个月初我男朋友的父母要过来 	None
该不该告诉老公我的朋友有皮肤病，她有个男朋友，她很爱男朋友，但又 	None
已知ABCD是4正整数，ABC平均数为6，BCD平均数为8，问C? 	None
我怎么不能得到激活码啊?谁给我个激活码啊???我试了很多方法都不 	None
有请中央一套！！！32元进球彩大比拼!!!想抢100元的请进!! 	None
国际搬家	None
怎么才能顺其自然的把一个不认识的女孩子约出来呢？ 	None
仙3外的问题5本仙术书.该怎么分配?我想打出所有尸块.也想得到称 	None
有什么药物治疗腰疼比较好 	None
3档3敏粉红估价昨天抓只粉红,现在冲到10级,冲稳定了,掉3敏, 	None
男人需要的最基本的信任是什么我不知道男人是不是希望自己的手机和Q 	None
我的龙能卖几钱ＲＭＢ血４４６９蓝６６５７速度６上限３１１上限２０ 	None
请介绍一下心脏搭桥手术尤其是它与支架手术的区别 	None
6F的ABD和大马什么价？重装ABD包括头手脚盾上下装和大马的价 	None
今年内我经常脱肛,有什么好的办法治?(27岁,办公室上班) 	None
BIOS里怎么找不硬盘启动的选项呢?硬盘启动是那个HDD	None
我二个月前买的联想电脑，现在液晶显示屏上出现了一个亮点，是否正常? 	None
被盗车怎么样找理赔??我的车是在汽车维修车厂的老板搞丢了,怎么样 	None
为什么荆州这个地方,三国乃至后来,都是兵家必争之地?如题? 	None
发育迟缓引起的癫痫病怎么治呢？ 	None
万能的微博，深圳有维修饰品的地方么？断了 	None
英语选择题，希望知道答案和原因，谢谢。 	None
guy到底是只指男的还是男女都指？谢谢 	Potentially
我是一刚开车的出租车司机.请问为了能安全行车,出租车司机开车时最? 	None
我的电脑无法启动了，连自检都没有，于是我把内存条换了一个插槽，便? 	None
广州治疗重症肌无力需要花多少钱 	None
关于5173买号的问题我想在5173买个传奇世界ID.但是我怎么 	None
为什么到12点了登入天2还是进不去啊？是服务器还没维护完吗？还什 	None
A车180和S4重各方面性能来说哪好？跑城市锦标山路哪个好？越详 	None
预备队，看你们啦！今晨，本指挥官在大战前做出了一个决定，部队统统 	None
神奇的微博~[杰克逊]iphone5S好还是三星note3好？平? 	None
法国大学除了巴黎的大学以外，外省有什么好的大学吗？ 	None
咽喉炎复发怎么办 	None
中度宫颈糜烂会变重度吗?去年11月的时候流产后查出得了中度宫颈糜 	None
图片中的狗狗是什么品种？ 	None
新鞋挤脚怎么办我前几天刚买了双新鞋，上午的时候鞋一点也不挤脚，等 	None
惠氏奶粉是否上火宝宝换了惠氏奶粉之后开始便秘，有人告诉我要和其它 	None
天津松江在东疆保税区的高尔夫项目有多大？ 	None
有没有谁上北京舞蹈学院的,你们有没有暑期的街舞现代舞的培训班啊谢? 	None
玄龟金鼎奖品都有哪些啊？玄龟金鼎一到五等奖品都奖些什么啊？ 	None
杀1次海盗得多少声望？ 	None
当你想做爱的时候，该怎样才能让男友知道？是清楚的说，还是... 	None
西餐的作法那本西餐书比较好，推荐一本！ 	None
找一首歌词中有＂万世流芳＂的歌，好象是郑中基唱的． 	None
不是处女了，但想珍惜眼前的好男人！我该怎么办？我在大学时候有一个 	Potentially
深圳的建设银行房贷供多久提前还货?深圳的建设银行房贷供多久可以申 	None
什么是心脾两虚心脾两虚的主要症状是什么？？女生应怎么补？ 	None
什么是整式？ 	None
公务员报考相片分辨率有什么要求? 	None
论地水魔宠之最强老大篇标题大家可以看的出，本人满民剑养的宠有满档 	None
比如我是我是2转的勇战工我有15000的血敌人也是15000的血? 	None
误工费问题：我车压到别人的脚了，伤者没有住院，我需要伤者提供哪些? 	None
关于十字弓妖拿8十字弓和9十字弓的区别多大9十字比8十字少几弓? 	None
高手来翻译２句话　给你１０分Furthermore,FVAS1. 	None
日本人是全世界最受欢迎的？？？？根据英国广播公司（BBC）和加拿 	Potentially
选科困难！！帮忙啊！我三门成绩好，但快分科了，我不知道选文选理。 	None
一个购物的问题知道的告诉我是不是一般多买东西就是比少买的便宜呢 	None
neo巨目怎么样？neo巨目什么颜色最好 	None
感情的困惑我的父母给我介绍个老头当对象怎么办？我今年都30了，离 	None
我和女友半年没见面了`她来找我!我该准备什么给她? 	None
清晨,蜗牛从树根沿着树干往上爬,树高10米,白天爬上4米,夜间滑? 	None
我想办一张能透支的银行卡,哪个银行的好,有什么要求,还有哪个银行? 	None
请问最全面的风水学书友什么？就是关于风水学的一本最全面的书。 	None
求不等式解集函数f(x)=xsinx+cosx+x^2，x∈R， 	None
UT频道加入到收藏夹，为什么重新登陆后没有那个频道？我确定是收藏 	None
★~闲趣谜语（晚）~★穿的都是舶来品（成语） 	None
新天下无双的武器强化系统是什么样的？ 	None
星际的修改高手来看看单位的价格,血和攻防等怎么修改 	None
暗黑有czx吗？dsa 	None
维生素用在脸上要注意些什么吗维 	None
《怒放的生命》是谁的歌曲？ 	None
谁告诉我这是什么鱼，第一次见过这鱼 	None
杭州看肝病小三阳最好的医院是哪一家？ 	None
进入天关后,想多挣点经验,请问是一步一步闯天关快还是去魔王岭? 	None
急急急!日语学校的问题!!!朝阳区哪里有好的日语学校啊?收费不要 	None
昨天到今天3区怎么不能进啊？昨天到今天都不能进1	None
音乐张杰的什么歌最好听(5首） 	None
向世界出发片头曲是什么 	None
求符文之语材料，十字弓的存档 	None
"1区能进去不?怎么总提示""pleasetryagain.""谁知道 "	None
牛牛在此给各位朋友们拜年了! 	None
帮忙我是中锋，可就是板少，不知抢板时该怎么抢，我应站在哪？ 	None
黑鸟加什么好啊? 	None
现在哪个型号手机不错推荐一下谢谢 	None
1999年的高等教育自学考试文凭网上查的到吗 	None
几乎每2天拉一次大便，有时甚至三天。正常吗？几乎每2天拉一次大便 	None
道具服骑宠问题1现在骑宠还有经常吊线的现象吗2骑宠需要什么条件? 	None
我的性格是否正常?我身高一米六二,体重七十公斤,不算太胖.但在生 	None
用电子式表示下列物质C2H4、CH3CH2OH 	None
车间管理人员工资为什么要记入制造费用账户？为什么不是生产成本？ 	None
26岁结婚,婚假10天怎么算我今年27了,结婚应该有10天婚假, 	None
手机带机打发票是什么意思我想在淘宝网上买E72，我问老板有全国联 	None
啊呀,有N个问题,,高手帮忙下啊1.如果把名字是粉色(紫色)的玩 	None
宝宝排便问题我家宝宝14个月了,可是现在拉大便不愿被人把,非要自 	None
怎么样可以早睡早起求解 	None
易趣交易冻结是怎么回事 	None
我跳水时弄伤了脚,下肢毫无知觉,站不起来,大小便失禁,怎么医好啊 	None
最保险的基金？？最近打算做点小投资，银行的工作人员推荐买基金，定 	None
郝海东和李铁在谢联会打主力吗？ 	None
美元下跌底线美元下跌的底线会是多少？大概还会有机会大幅度的反弹么 	None
食品厂可以委托别的食品厂生产食品吗如题 	None
问一个词语的意思～齐鲁晚报上体育板块中，有个词是哪个队“完胜”了 	None
我的小狗生了尿结石，在无法送到有条件的医院治疗的情况下，有什么好? 	None
请大家帮忙看下配置谢谢了啊(tm)xp2000+1.66GHz内 	None
苏联喊“乌拉”，鬼子喊“板载”，那德军和米军冲锋时喊什么？二战的 	Potentially
最进有社么好看的喜剧片?? 	None
淘宝货到付款怎么设置 	None
为什么我的电脑主机的噪音非常的大?我的电脑是五年前组装的,这几天 	None
求解校园勋章 	None
大学生毕业后婚迁的问题大学生毕业时发的户口迁移证是指把户口想迁哪 	None
项目管理是怎么回事？项目管理的定义是什么？项目管理采取何种方式开 	None
宝宝十个月了，最近不肯吃，只吃米粥，请问是不是缺锌？该怎么办？怎? 	None
请解释“复进口”、“复出口”？？？？？？ 	None
多吃鱼有什么好处? 	None
spss单选和多选是要分开录入吗 	None
请问90级的请问90级的秘魔灵珠（抗土9%、抗金8%）到底值多少? 	None
杭州玛莉亚妇产医院就是杭州省妇保院吗 	None
为什么丹顶鹤有时候一只脚独立？ 	None
诛仙2人物头顶的血值和精气值怎么不能设置出来了？？？ 	None
遇到这个情况，裁判应该怎样判罚？当守门员开门球时，后卫（队友）在 	None
个人对魔力和幻想大陆的评价魔力变成今天这个样子（我也难过）我想最 	None
求空竹的资料，空竹历史、种类、辨别、价格、购买地等等 	None
罪案现场8的全攻略！！！！！ 	None
我女儿晚上睡觉总是翻来翻去睡得不安稳而且要踢被子请问是什么原因我 	None
如何避免来牌输？我来牌经常输,如何避免这种情况?问题是我打牌时间 	None
午睡多梦我是一名高三学生午睡在学校宿舍睡一般中午会做作业到一点半 	None
(花卉)植物吃土是怎么回事?植物吃土是怎么回事?植物养了几年后换 	None
网吧不准安装软件。。。在一个大网吧我下载迅雷安装却安装不了还说受 	None
摄像头视频组件启动成功，为什么没有图像？0分我的摄像头视频组件启 	None
怎样将文件的打开方式改为未知应用程序？ 	None
儿童生长疼是怎么回事，该怎么办才好呢我女儿今年才4岁，昨天晚上说 	None
胸腔积液的症状 	None
洁面后依次使用什么护肤品 	None
目前一共有多少家A+H的上市公司？ 	None
请问买卖交割单的历吏记录可以删除吗？在联合开户的，买卖交割单的历 	None
想去闸坡玩两天[嘻嘻]闸坡有什么好玩的？有特色的？好吃的？[委屈? 	None
清明烧纸如何确认死者收到？我从小爱玩火，清明主动负责烧纸钱，不知 	None
如何快速有效戒烟 	None
男朋友出差在外,可以发什么短信以表示关心呢他出差在外还要加班,也 	None
嗨!大家好我是小犬蠢一螂,又和大家见面了!请多关照,要顶哦!(二? 	None
如何在首页导航栏添加文字，并且带有ULR连接？意思就是，在导航栏 	None
电脑听不到声音放什么东西都没声音，但在声音语音音频设备里的音效管 	None
我要争取还是放弃？我爱上一个男孩，他曾经爱过一个女孩并且现在还爱 	None
比尔·盖茨的个人资料？身高、体重、血统？ 	None
D的春天什么时候来?我是五区寒霜皇冠的D本人玩了2个D了(闲的慌 	None
龙有几的儿子？据说龙有十个儿子？问题是那十个。 	None
求救，我该怎么办！大家好，我是个14岁的女孩现在上高中了，但是最 	None
